Author,Song Name,File Name,File Path
Sopon Chakraborti,প্রেমের খেলা কে বুঝিতে পারে,song1_প্রেমের খেলা কে বুঝিতে পারে.docx,Data/Sopon Chakraborti/song1_প্রেমের খেলা কে বুঝিতে পারে.docx
Sopon Chakraborti,খেলবো হোলি রঙ দেব না,song3_খেলবো হোলি রঙ দেব না.docx,Data/Sopon Chakraborti/song3_খেলবো হোলি রঙ দেব না.docx
Sopon Chakraborti,নাই নাই এ আধার থেকে,song2_নাই নাই এ আধার থেকে.docx,Data/Sopon Chakraborti/song2_নাই নাই এ আধার থেকে.docx
Humayun Ahmed,,song15_.docx,Data/Humayun Ahmed/song15_.docx
Humayun Ahmed,ও আমার উড়াল পঙ্খী রে,song6_ও আমার উড়াল পঙ্খী রে.docx,Data/Humayun Ahmed/song6_ও আমার উড়াল পঙ্খী রে.docx
Humayun Ahmed,,song13_.docx,Data/Humayun Ahmed/song13_.docx
Humayun Ahmed,সোহাগপুর গ্রামে একটা মায়া দীঘি ছিল,song2_সোহাগপুর গ্রামে একটা মায়া দীঘি ছিল.docx,Data/Humayun Ahmed/song2_সোহাগপুর গ্রামে একটা মায়া দীঘি ছিল.docx
Humayun Ahmed,"ও কারিগর, দয়ার সাগর, ওগো দয়াময়","song8_ও কারিগর, দয়ার সাগর, ওগো দয়াময়.docx","Data/Humayun Ahmed/song8_ও কারিগর, দয়ার সাগর, ওগো দয়াময়.docx"
Humayun Ahmed,বরষার প্রথম দিনে,song3_বরষার প্রথম দিনে.docx,Data/Humayun Ahmed/song3_বরষার প্রথম দিনে.docx
Humayun Ahmed,একটা ছিল সোনার কন্যা,song7_একটা ছিল সোনার কন্যা.docx,Data/Humayun Ahmed/song7_একটা ছিল সোনার কন্যা.docx
Humayun Ahmed,,song14_.docx,Data/Humayun Ahmed/song14_.docx
Humayun Ahmed,যদি মন কাঁদে তুমি চলে এসো,song10_যদি মন কাঁদে তুমি চলে এসো.docx,Data/Humayun Ahmed/song10_যদি মন কাঁদে তুমি চলে এসো.docx
Humayun Ahmed,বাদলা দিনে মনে পড়ে ছেলেবেলার গান,song4_বাদলা দিনে মনে পড়ে ছেলেবেলার গান.docx,Data/Humayun Ahmed/song4_বাদলা দিনে মনে পড়ে ছেলেবেলার গান.docx
Humayun Ahmed,আসমান ভাইঙ্গা জোছনা পড়ে,song11_আসমান ভাইঙ্গা জোছনা পড়ে.docx,Data/Humayun Ahmed/song11_আসমান ভাইঙ্গা জোছনা পড়ে.docx
Humayun Ahmed,আমি আজ ভেজাবো চোখ,song5_আমি আজ ভেজাবো চোখ.docx,Data/Humayun Ahmed/song5_আমি আজ ভেজাবো চোখ.docx
Humayun Ahmed,,song12_.docx,Data/Humayun Ahmed/song12_.docx
Humayun Ahmed,আমার ভাঙ্গা ঘরে ভাঙ্গা চালা ভাঙ্গা বেড়ার ফাঁকে,song9_আমার ভাঙ্গা ঘরে ভাঙ্গা চালা ভাঙ্গা বেড়ার ফাঁকে.docx,Data/Humayun Ahmed/song9_আমার ভাঙ্গা ঘরে ভাঙ্গা চালা ভাঙ্গা বেড়ার ফাঁকে.docx
Humayun Ahmed,মাথায় পরেছি সাদা ক্যাপ,song1_মাথায় পরেছি সাদা ক্যাপ.docx,Data/Humayun Ahmed/song1_মাথায় পরেছি সাদা ক্যাপ.docx
Mukul Dutta,আমার পূজার ফুল,song4_আমার পূজার ফুল.docx,Data/Mukul Dutta/song4_আমার পূজার ফুল.docx
Mukul Dutta,তোমাদের আশীর্বাদে,song7_তোমাদের আশীর্বাদে.docx,Data/Mukul Dutta/song7_তোমাদের আশীর্বাদে.docx
Mukul Dutta,এই যে নদী যায় সাগরে,song8_এই যে নদী যায় সাগরে.docx,Data/Mukul Dutta/song8_এই যে নদী যায় সাগরে.docx
Mukul Dutta,জীবনপুরের পথিকরে ভাই,song5_জীবনপুরের পথিকরে ভাই.docx,Data/Mukul Dutta/song5_জীবনপুরের পথিকরে ভাই.docx
Mukul Dutta,তারে আমি চোখে দেখেনি,song2_তারে আমি চোখে দেখেনি.docx,Data/Mukul Dutta/song2_তারে আমি চোখে দেখেনি.docx
Mukul Dutta,কোন পাখি ধরা দিতে চায়,song1_কোন পাখি ধরা দিতে চায়.docx,Data/Mukul Dutta/song1_কোন পাখি ধরা দিতে চায়.docx
Mukul Dutta,গুলমোহরের ফুল ঝরে যায়,song6_গুলমোহরের ফুল ঝরে যায়.docx,Data/Mukul Dutta/song6_গুলমোহরের ফুল ঝরে যায়.docx
Mukul Dutta,আহা! না রয়না বাঁধা রয়না থৈ থৈ মন কিছুতেই,song3_আহা! না রয়না বাঁধা রয়না থৈ থৈ মন কিছুতেই.docx,Data/Mukul Dutta/song3_আহা! না রয়না বাঁধা রয়না থৈ থৈ মন কিছুতেই.docx
Mukul Dutta,বন্ধু তোমার পথের সাথীকে চিনে নিও,song9_বন্ধু তোমার পথের সাথীকে চিনে নিও.docx,Data/Mukul Dutta/song9_বন্ধু তোমার পথের সাথীকে চিনে নিও.docx
Snehasis Ghosh,দুই পৃথিবী,song1_দুই পৃথিবী.docx,Data/Snehasis Ghosh/song1_দুই পৃথিবী.docx
LRB,কোন অভিযোগ,song2_কোন অভিযোগ.docx,Data/LRB/song2_কোন অভিযোগ.docx
LRB,গতকাল রাতে,song1_গতকাল রাতে.docx,Data/LRB/song1_গতকাল রাতে.docx
LRB,জন্মহীন নক্ষত্র,song3_জন্মহীন নক্ষত্র.docx,Data/LRB/song3_জন্মহীন নক্ষত্র.docx
Musle Uddin,আকাশের ঐ মিটিমিটি তাঁরার সাথে,song1_আকাশের ঐ মিটিমিটি তাঁরার সাথে.docx,Data/Musle Uddin/song1_আকাশের ঐ মিটিমিটি তাঁরার সাথে.docx
Musle Uddin,ওগো সোনার মেয়ে যাও গো শুনে,song2_ওগো সোনার মেয়ে যাও গো শুনে.docx,Data/Musle Uddin/song2_ওগো সোনার মেয়ে যাও গো শুনে.docx
Pronob Roy,মধুর আমার মায়ের হাসি,song2_মধুর আমার মায়ের হাসি.docx,Data/Pronob Roy/song2_মধুর আমার মায়ের হাসি.docx
Pronob Roy,জীবনে যারে তুমি দাওনি মালা,song1_জীবনে যারে তুমি দাওনি মালা.docx,Data/Pronob Roy/song1_জীবনে যারে তুমি দাওনি মালা.docx
Sayyed Shamsul Haque,কারে বলে ভালবাসা কারে বলে প্রেম,song5_কারে বলে ভালবাসা কারে বলে প্রেম.docx,Data/Sayyed Shamsul Haque/song5_কারে বলে ভালবাসা কারে বলে প্রেম.docx
Sayyed Shamsul Haque,এমন মজা হয় না,song7_এমন মজা হয় না.docx,Data/Sayyed Shamsul Haque/song7_এমন মজা হয় না.docx
Sayyed Shamsul Haque,যেন কত পথ ওগো চলেছি,song2_যেন কত পথ ওগো চলেছি.docx,Data/Sayyed Shamsul Haque/song2_যেন কত পথ ওগো চলেছি.docx
Sayyed Shamsul Haque,শোন বলি একটি কথা আজ,song9_শোন বলি একটি কথা আজ.docx,Data/Sayyed Shamsul Haque/song9_শোন বলি একটি কথা আজ.docx
Sayyed Shamsul Haque,চাঁদের সাথে আমি দেব না তোমার তুলনা,song6_চাঁদের সাথে আমি দেব না তোমার তুলনা.docx,Data/Sayyed Shamsul Haque/song6_চাঁদের সাথে আমি দেব না তোমার তুলনা.docx
