Author,Song Name
Raihan Sharif,শাহবাগ তোমার আওয়াজ
Raihan Sharif,অপর বেলায়
Marjuk Rasel,রাখে আল্লাহ মারে কে
Marjuk Rasel,পত্র দিও
Marjuk Rasel,সবার বাংলাদেশ
Marjuk Rasel,তের নদী সাত সমুদ্দুর
Marjuk Rasel,শরাবে শরাব
Marjuk Rasel,পাখি উড়ে যা
Marjuk Rasel,জাত যায়
Marjuk Rasel,কথা
Marjuk Rasel,হাউজি
Marjuk Rasel,দে দৌড়
Marjuk Rasel,ও আমার পাগলা ঘোড়া রে
Marjuk Rasel,দ্বিধা
caim,আজকে রাতে
caim,জীবনের ডাক
Zia,শহরের কথা
Zia,হাসিমুখ
Zia,পাখি
Zia,বন্ধ জানালা
Zia,রূপসী নগর
Zia,ভবঘুরে ঝড়
Zia,লাল নীল গল্প
Zia,দ্বিতীয় জীবন
Zia,মুঠোফোন
Zia,ইচ্ছে ঘুড়ি
Zia,বাস স্টপেজ
Zia,শুভ্র রঙ্গীন
Zia,নিশ্চুপ আধার
Zia,প্রান্তর
Zia,সুপ্রভাত
Zia,শূণ্য
Zia,বাংলাদেশ
Zia,জাহাজী
Zia,বুলেট কিংবা কবিতা
Zia,অনেক আশা নিয়ে
Zia,ক্যাফেটেরিয়া
Khan Ataur Rahaman,জীবন সে তো পদ্ম পাতায় শিশির বিন্দু
Khan Ataur Rahaman,আমাকে পোড়াতে যদি এতো লাগে ভালো
Khan Ataur Rahaman,ও আমার চক্ষু নাই
Khan Ataur Rahaman,পাখিরে তুই দূরে থাকলে
Khan Ataur Rahaman,এ কী সোনার আলোয় জীবন ভরিয়ে দিলে
Khan Ataur Rahaman,যদি আর দেখা নাই হয়
Khan Ataur Rahaman,মায়ের মত আপন কেহ নাই
Khan Ataur Rahaman,তুমি চেয়েছিলে ওগো জানতে
Khan Ataur Rahaman,মন যদি ভেঙে যায়
Khan Ataur Rahaman,যারে যাবি যদি যা
Khan Ataur Rahaman,আমি এক নীড়হারা ঝড়ের পাখি
Khan Ataur Rahaman,শ্যামল বরণ মেয়েটি
Khan Ataur Rahaman,আগুন জ্বলেরে নিভানের মানুষ নাই
Khan Ataur Rahaman,তোমার আগুনে পোড়ানো এ দুটি চোখে
Khan Ataur Rahaman,এ খাঁচা ভাঙ্গব আমি কেমন করে
Khan Ataur Rahaman,রংধনু চোখে চোখে
Khan Ataur Rahaman,মন মাঝি তোর বৈঠা নে রে
Khan Ataur Rahaman,এক নদী রক্ত পেড়িয়ে
Nokul Kuman Bishas,কিচ্ছা খতম হইবো
Nokul Kuman Bishas,হায়রে বৃষ্টি হায়রে হায়
Nokul Kuman Bishas,সবকিছুর মুলে কিন্তু বউ
Nokul Kuman Bishas,বিশ্ব থেকে হারাবে না পবিত্র কোরআন
Nokul Kuman Bishas,একদিন কান্নার রোল উঠবে
Mohammad Rofikuzzaman,সবুজের বুকে লাল সূর্যটা ঝলমল
Mohammad Rofikuzzaman,আমাদের দেশটা স্বপ্নপুরী
Mohammad Rofikuzzaman,"দুঃখ আমার, আমার বাসর রাতের পালঙ্ক"
Mohammad Rofikuzzaman,আমার সকল চাওয়া তোমারই কাছে
Mohammad Rofikuzzaman,কালো রাজপথ যেন মনে হয় হাজার হাজার পলাশ হয়ে চেয়ে রয়
Mohammad Rofikuzzaman,দুঃখ দিতেই ফিরে এলে
Mohammad Rofikuzzaman,দিন কি রাতে সাজ প্রভাতে
Mohammad Rofikuzzaman,সবাই বলে যত সর্বনাশের মুল
Mohammad Rofikuzzaman,আমার মন পাখিটা যায়রে উড়ে যায়
Mohammad Rofikuzzaman,তুমি এমনই জাল পেতেছো সংসারে
Mohammad Rofikuzzaman,আমি তো কেবলই এক সাধারণ মেয়ে
Mohammad Rofikuzzaman,বন্ধু হতে চেয়ে তোমার
Mohammad Rofikuzzaman,সুখ পাখিরে পিঞ্জিরা তো খুলে দিলেম আজ
Mohammad Rofikuzzaman,আজ ফিরে না গেলেই কি নয়
Mohammad Rofikuzzaman,আমি চাঁদকে বলেছি আজ রাতে
Mohammad Rofikuzzaman,বধু তোমার আমার এই যে পিরীতি
Mohammad Rofikuzzaman,এতো সুখ সইবো কেমন করে
Mohammad Rofikuzzaman,সেই রেল লাইনের ধারে মেঠো পথটার পাড়ে দাড়িয়ে
Mohammad Rofikuzzaman,আকাশের সব তারা ঝরে যাবে
Mohammad Rofikuzzaman,যে আমার হৃদয় করলো চুরি
Mohammad Rofikuzzaman,আমাকে দেখার সেই চোখ তোমার কই গো
Mohammad Rofikuzzaman,আমার থাকতে পরান
Kazi Ajij Ahmed,এ আধার কখনো যাবে না মুছে
Kazi Ajij Ahmed,দূরে সরে গিয়ে শুধু ব্যাথা দিয়ে
Azom Khan,জীবনে মরণ কেন আসে
Azom Khan,হারিয়ে গেছে খুজে পাবো না
Azom Khan,আলাল ও দুলাল
Azom Khan,আসি আসি বলে তুমি আর এলে না
Azom Khan,ওরে সালেকা ওরে মালেকা
Azom Khan,জীবনে কিছু পাব নারে
Cirkut,"শাহবাগ জনতার, বুক ফাটা চিৎকার"
Shylen Roy,মানুষের মনে ভোর হল
Shylen Roy,নয়ন মোহন শ্যাম নয়ন ছাড়িয়া মোরে এ মধু থাকো এ পরাণে
Shylen Roy,"সে বিনে আর জানে না, জানে না এ মন"
Shylen Roy,আজ চঞ্চল মন যদি মৌমাছি হয়ে চায় ক্ষতি কি
Shylen Roy,মোর গান গুণগুণ ভ্রমরের মিঠে বোল
Shylen Roy,এই গান গাওয়া মোর নয় গো অকারণে
Shylen Roy,"ও মন কখন শুরু, কখন যে শেষ, কে জানে"
Shylen Roy,তোমারই পথ পানে চাহি
Shylen Roy,মাটির প্রদীপ রয় যে চেয়ে
Shylen Roy,"আমারে লয়ে কি খেলা খেলিছ, প্রতিটি পিয়াসী ক্ষণ"
Tuhin,সূর্য
Tuhin,পরিচয়
Iqbal Mahbub,চলেই যদি যাবে তুমি
Iqbal Mahbub,কোথায় যাবি
Iqbal Mahbub,যাই বলে যেতে নাই রে
Iqbal Mahbub,এক ডালি ফুল
Iqbal Mahbub,না বলো না
Iqbal Mahbub,হারিয়ে যাওয়া সেই দিন গুলি ফিরে পাওয়া যায় না
Iqbal Mahbub,আমি তোমাকে ভালবেসেছি
Iqbal Mahbub,এই তো সেদিন তুমি ছিলে
Iqbal Mahbub,ভালবাসা যদি তুমি নাই বা দিলে
Aladin,চেতনার অনুষ্ঠানে
Aladin,মেয়ে
Rabindra Nath Tagore,আজ ধানের ক্ষেতে রৌদ্রছায়ায় লুকোচুরি খেলা
Rabindra Nath Tagore,বধু কোন আলো লাগলো চোখে
Rabindra Nath Tagore,অলকে কুসুম
Rabindra Nath Tagore,পুরাতনকে বিদায় দিলে না যে ওগো নবীন রাজা
Rabindra Nath Tagore,অসীম ধন
Rabindra Nath Tagore,অন্ধকারের মাঝে আমায় ধরেছ
Rabindra Nath Tagore,এবেলা ডাক পড়েছে কোন্‌খানে
Rabindra Nath Tagore,যাবার দিনে এই কথাটি বলে যেন যাই
Rabindra Nath Tagore,আজ শ্রাবণের আমন্ত্রণে
Rabindra Nath Tagore,চক্ষে আমার তৃষ্ণা
Rabindra Nath Tagore,আজি মম মন চাহে জীবন বন্ধুরে
Rabindra Nath Tagore,ফাগুনের শুরু হতেই শুকনো পাতা ঝরল যত
Rabindra Nath Tagore,ওই কি এলে আকাশপারে দিক-ললনার প্রিয়
Rabindra Nath Tagore,আমি চঞ্চল হে
Rabindra Nath Tagore,তোমায় কিছু দেব বলে চায় যে আমার মন
Rabindra Nath Tagore,হেথা যে গান গাইতে আসা আমার
Rabindra Nath Tagore,তোমার পতাকা যারে দাও তারে
Rabindra Nath Tagore,শ্রাবণবরিষন পার হয়ে কী বাণী আসে ওই রয়ে রয়ে
Rabindra Nath Tagore,অলি বার বার ফিরে যায়
Rabindra Nath Tagore,ওগো তুমি পঞ্চদশী
Rabindra Nath Tagore,খেলার ছলে সাজিয়ে আমার গানের বাণী
Rabindra Nath Tagore,মধু গন্ধে ভরা মৃদু স্নিগ্ধছায়া নীপ কুঞ্জতলে
Rabindra Nath Tagore,তোরা শুনিস নি কি শুনিস নি
Rabindra Nath Tagore,"সহসা ডালপালা তোর উতলা-যে ও চাঁপা, ও করবী"
Rabindra Nath Tagore,অনেক দিয়েছ নাথ
Rabindra Nath Tagore,কাল রাতের বেলা গান এলো মোর মনে
Rabindra Nath Tagore,আমি হেথায় থাকি শুধু গাইতে তোমার গান
Rabindra Nath Tagore,এবার দুঃখ আমার অসীম পাথার
Rabindra Nath Tagore,"ওরে আয় রে তবে, মাত্‌ রে সবে আনন্দে"
Rabindra Nath Tagore,যে রাতে মোর দুয়ারগুলি ভাঙল ঝড়ে
Rabindra Nath Tagore,অশ্রুভরা বেদনা
Rabindra Nath Tagore,"এক হাতে ওর কৃপাণ আছে, আর-এক হাতে হার"
Rabindra Nath Tagore,"প্রভু, তোমার বীণা যেমনি বাজে"
Rabindra Nath Tagore,অচেনাকে ভয় কী আমার ওরে
Rabindra Nath Tagore,আমরা নূতন প্রাণের চর হা হা
Rabindra Nath Tagore,ভুলে যাই থেকে থেকে
Rabindra Nath Tagore,"না, না গো না, কোরো না ভাবনা"
Rabindra Nath Tagore,মেঘের কোলে রোদ হেসেছে
Rabindra Nath Tagore,কোন্‌ খেপা শ্রাবণ ছুটে এল আশ্বিনেরই আঙিনায়
Rabindra Nath Tagore,আনন্দ তুমি স্বামী মঙ্গল তুমি
Rabindra Nath Tagore,চাঁদের হাসির বাঁধ ভেঙেছে
Rabindra Nath Tagore,আমি যখন তাঁর দুয়ারে ভিক্ষা নিতে যাই
Rabindra Nath Tagore,উড়িয়ে ধ্বজা অভ্রভেদী রথে
Rabindra Nath Tagore,ও যে মানে না মানা
Rabindra Nath Tagore,এই মৌমাছিদের ঘরছাড়া কে করেছে রে
Rabindra Nath Tagore,আমরা সবাই রাজা আমাদের এই রাজার রাজত্বে
Rabindra Nath Tagore,কালের মন্দিরা যে সদাই বাজে
Rabindra Nath Tagore,তোর শিকল আমায় বিকল করবে না
Rabindra Nath Tagore,কী বেদনা মোর জানো সে কি তুমি জানো
Rabindra Nath Tagore,"বাধা দিলে বাঁধবে লড়াই, মরতে হবে"
Rabindra Nath Tagore,আমার হৃদয় তোমার আপন হাতের দোলে
Rabindra Nath Tagore,কাছে ছিলে দূরে গেলে
Rabindra Nath Tagore,ওগো দখিন হাওয়া ও পথিক হাওয়া
Rabindra Nath Tagore,যেতে যেতে চায় না যেতে
Rabindra Nath Tagore,"তোমার হল শুরু, আমার হল সারা"
Rabindra Nath Tagore,সেদিন দুজনে দুলেছিনু বনে
Rabindra Nath Tagore,তুমি কি কেবলই ছবি
Rabindra Nath Tagore,নয়ন তোমারে পায় না দেখিতে
Rabindra Nath Tagore,এ আবরণ ক্ষয় হবে গো ক্ষয় হবে
Rabindra Nath Tagore,হারে রে রে রে রে আমায়
Rabindra Nath Tagore,ডাকব না ডাকব না
Rabindra Nath Tagore,হে ক্ষণিকের অতিথি
Rabindra Nath Tagore,"ন্যায় অন্যায় জানি নে, জানি নে, জানি নে"
Rabindra Nath Tagore,তরী আমার হঠাৎ ডুবে যায়
Rabindra Nath Tagore,নয় এ মধুর খেলা
Rabindra Nath Tagore,অয়ি বিষাদিনী বীণা আয় সখী
Rabindra Nath Tagore,ডেকো না আমারে ডেকো না
Rabindra Nath Tagore,আমি হৃদয়ের কথা বলিতে ব্যাকুল
Rabindra Nath Tagore,একলা বসে বাদল-শেষে শুনি কত কী
Rabindra Nath Tagore,ওগো শেফালি বনের মনের কামনা
Rabindra Nath Tagore,ও নিঠুর আরো কি বাণ তোমার তূণে আছে
Rabindra Nath Tagore,"বিরস দিন বিরল কাজ, প্রবল বিদ্রোহে"
Rabindra Nath Tagore,"আষাঢ়, কোথা হতে আজ পেলি ছাড়া"
Rabindra Nath Tagore,চোখের আলোয় দেখেছিলেম চোখের বাহিরে
Rabindra Nath Tagore,নিশীথ শয়নে ভেবে রাখি মনে
Rabindra Nath Tagore,পাদপ্রান্তে রাখ সেবকে
Rabindra Nath Tagore,কেন চোখের জলে ভিজিয়ে দিলেম না
Rabindra Nath Tagore,তুমি রবে নীরবে
Rabindra Nath Tagore,তোমারে জানি নে হে তবু মন তোমাতে ধায়
Rabindra Nath Tagore,যেতে যদি হয় হবে
Rabindra Nath Tagore,"আমার মন বলে, ‘চাই চা ই, চাই গো"
Rabindra Nath Tagore,তোমার কাছে শান্তি চাব না
Rabindra Nath Tagore,কে রঙ লাগালে বনে বনে
Rabindra Nath Tagore,গোপন কথাটি রবে না গোপনে
Rabindra Nath Tagore,মধুর বসন্ত এসেছে
Rabindra Nath Tagore,হৃদয়ে তোমার দয়া যেন পাই
Rabindra Nath Tagore,নিবিড় অন্তরতর বসন্ত এল প্রাণে
Rabindra Nath Tagore,আইলো শান্ত সন্ধ্যা
Rabindra Nath Tagore,বেদনা কী ভাষায় রে
Rabindra Nath Tagore,"আর নাই রে বেলা, নামল ছায়া ধরণীতে"
Rabindra Nath Tagore,"বাংলার মাটি, বাংলার জল"
Rabindra Nath Tagore,অয়ি ভুবনমনোমোহিনী মা
Rabindra Nath Tagore,বসে আছি হে কবে শুনিব তোমার বাণী
Rabindra Nath Tagore,অমল ধবল পালে
Rabindra Nath Tagore,জড়ায়ে আছে বাধা
Rabindra Nath Tagore,বিশ্ব জোড়া ফাঁদ পেতেছ
Rabindra Nath Tagore,"আরো আঘাত সইবে আমার, সইবে আমারো"
Rabindra Nath Tagore,আপনারে দিয়ে রচিলি রে
Rabindra Nath Tagore,বিপদে মোরে রক্ষা করো এ নহে মোর প্রার্থনা
Rabindra Nath Tagore,শরতে আজ কোন্‌ অতিথি এল প্রাণের দ্বারে
Rabindra Nath Tagore,"তুমি জানো, ওগো অন্তর্যামী"
Rabindra Nath Tagore,দেবতা জেনে দূরে রই দাঁড়ায়ে
Rabindra Nath Tagore,আজি মেঘ কেটে গেছে
Rabindra Nath Tagore,আজি তোমায় আবার চাই শুনাবারে
Rabindra Nath Tagore,আমার নিশীথরাতের বাদলধারা
Rabindra Nath Tagore,তুমি রবে নীরবে হৃদয়ে মম
Rabindra Nath Tagore,আলোকের এই ঝর্ণাধারায় ধুইয়ে দাও
Rabindra Nath Tagore,অনন্তের বাণী তুমি
Rabindra Nath Tagore,ওই পোহাইল তিমিররাতি
Rabindra Nath Tagore,তুমি খুশি থাক আমার পানে চেয়ে চেয়ে
Rabindra Nath Tagore,ওরা অকারণে চঞ্চল
Rabindra Nath Tagore,বসন্তে কি শুধু কেবল ফোটা
Rabindra Nath Tagore,কোন্‌ পুরাতন প্রাণের টানে
Rabindra Nath Tagore,নিশীথরাতের প্রাণ
Rabindra Nath Tagore,নয়ন মেলে দেখি আমায় বাঁধন বেঁধেছে
Rabindra Nath Tagore,আজি ঝড়ের রাতে
Rabindra Nath Tagore,আজি বাংলাদেশের হৃদয় হতে কখন আপনি
Rabindra Nath Tagore,কার মিলন চাও বিরহী
Rabindra Nath Tagore,আমি তোমার প্রেমে হব সবার কলঙ্কভাগী
Rabindra Nath Tagore,কিছু বলব ব’লে এসেছিলেম
Rabindra Nath Tagore,বড় আশা করে এসেছি
Rabindra Nath Tagore,দখিন হাওয়া জাগো জাগো জাগাও
Rabindra Nath Tagore,পাতার ভেলা ভাসাইনিরে
Rabindra Nath Tagore,অন্ধজনে দেহো আলো
Rabindra Nath Tagore,স্বপনে দোঁহে ছিনু কি মোহে
Rabindra Nath Tagore,আসা যাওয়ার পথের ধারে
Rabindra Nath Tagore,ওই-যে ঝড়ের মেঘের কোলে
Rabindra Nath Tagore,নাই নাই ভয়
Rabindra Nath Tagore,কিছু বলব বলে এসেছিলেম
Rabindra Nath Tagore,গহন রাতে শ্রাবণধারা পড়িছে ঝরে
Rabindra Nath Tagore,মোর সন্ধ্যায় তুমি সুন্দর বেশে এসেছ
Rabindra Nath Tagore,আমার অভিমানের বদলে আজ নেব তোমার মালা
Rabindra Nath Tagore,পূর্বাচলের পানে তাকাই অস্তাচলের ধারে আসি
Rabindra Nath Tagore,মম মন-উপবনে
Rabindra Nath Tagore,বাজিল কাহার বীণা মধুর স্বরে
Rabindra Nath Tagore,সে দিন আমায় বলেছিলে আমার সময় হয় নাই
Rabindra Nath Tagore,আনন্দলোকে মঙ্গলালোকে
Rabindra Nath Tagore,অমল কমল সহজে জলের কোলে
Rabindra Nath Tagore,তুমি একলা ঘরে বসে বসে কী সুর বাজালে
Rabindra Nath Tagore,বসন্ত প্রভাতে এক মালতীর ফুল
Rabindra Nath Tagore,আজি শ্রাবণ-ঘন-গহন
